cik,company,event_date,prior_event_date,n_events,all_event_dates,source,chapter,sic,is_primary_filer,date_discrepancy_days,in_window
75307,Oxoco Inc.,1986-09-10,,1,1986-09-10,LOPUCKI,11,1311,1,,0
814013,"Specialty Equipment Companies, Inc.",1991-12-24,,1,1991-12-24,LOPUCKI,11,5081,1,,0
61300,R H Macy & Co. Inc.,1992-01-27,,1,1992-01-27,LOPUCKI,11,5311,1,,0
757011,USG Corp. (1993),1993-03-17,,3,1993-03-17;2001-06-25;2006-06-21,LOPUCKI,11,3275,1,,0
314485,Commonwealth Equity Trust,1993-08-02,,1,1993-08-02,LOPUCKI,11,6799,1,,0
719721,Merry-Go-Round Enterprises Inc.,1994-01-11,,1,1994-01-11,LOPUCKI,11,5611,1,,0
83394,Resorts International Inc. (1994),1994-03-21,,1,1994-03-21,LOPUCKI,11,7990,1,,0
315125,"House of Fabrics, Inc.",1994-11-02,,1,1994-11-02,LOPUCKI,11,5940,1,,0
842913,"Kash N Karry Food Stores, Inc.",1994-11-09,,1,1994-11-09,LOPUCKI,11,5411,1,,0
316236,Grand Union Company (1995),1995-01-25,,3,1995-01-25;1998-06-24;2000-10-03,LOPUCKI,11,5411,1,,0
811119,Americold Corp.,1995-05-09,,1,1995-05-09,LOPUCKI,11,4220,1,,0
29917,Dow Corning Corporation,1995-05-15,,1,1995-05-15,LOPUCKI,11,2821,1,,0
819898,SpectraVision Inc.,1995-06-08,,1,1995-06-08,LOPUCKI,11,4899,1,,0
887356,"Bradlees, Inc. (1995)",1995-06-23,,2,1995-06-23;2000-12-26,LOPUCKI,11,5311,1,,0
50859,"Wherehouse Entertainment, Inc. (1995)",1995-08-02,,1,1995-08-02,LOPUCKI,11,5735,1,,0
79259,Mortgage & Realty Trust (1995),1995-08-18,,1,1995-08-18,LOPUCKI,11,6798,1,,0
857954,Caldor Corporation,1995-09-18,,1,1995-09-18,LOPUCKI,11,5311,1,,0
798246,"Forstmann & Company, Inc.",1995-09-22,,1,1995-09-22,LOPUCKI,11,2200,1,,0
49588,ICH Corporation,1995-10-10,,1,1995-10-10,LOPUCKI,11,6321,1,,0
60150,Lomas Financial Corp. (1995),1995-10-10,,1,1995-10-10,LOPUCKI,11,6162,1,,0
1121785,"SLM International, Inc.",1995-10-24,,2,1995-10-24;2009-03-04,LOPUCKI,11,3944,1,,0
31575,"Edison Brothers Stores, Inc. (1995)",1995-11-03,,2,1995-11-03;1999-03-09,LOPUCKI,11,5600,1,,0
801441,"Carolco Pictures, Inc.",1995-11-10,,1,1995-11-10,LOPUCKI,11,7812,1,,0
6260,"Anacomp, Inc.",1996-01-05,,1,1996-01-05,LOPUCKI,11,3861,1,,0
276780,"Color Tile, Inc.",1996-01-24,,1,1996-01-24,LOPUCKI,11,5211,1,,0
807708,"Kenetech Corp. (Kenetech Windpower, Inc. only)",1996-05-29,,1,1996-05-29,LOPUCKI,11,4911,1,,0
763739,Morrison Knudsen Corp.,1996-06-25,,1,1996-06-25,LOPUCKI,11,1540,1,,0
814570,Bibb Co,1996-07-03,,1,1996-07-03,LOPUCKI,11,2211,1,,0
924635,"Ernst Home Center, Inc.",1996-07-12,,1,1996-07-12,LOPUCKI,11,5211,1,,0
80134,Presidio Oil Company,1996-08-05,,1,1996-08-05,LOPUCKI,11,1311,1,,0
716644,FoxMeyer Health Corp. (FoxMeyer Drug Co. only),1996-08-27,,1,1996-08-27,LOPUCKI,11,5122,1,,0
1052163,Anchor Glass Container Corp. (1996),1996-09-13,,3,1996-09-13;2002-04-15;2005-08-08,LOPUCKI,11,3221,1,,0
790815,"Fretter, Inc.",1996-09-24,,1,1996-09-24,LOPUCKI,11,5731,1,,0
11821,"Best Products Company, Inc. (1996)",1996-09-24,,1,1996-09-24,LOPUCKI,11,5999,1,,0
732935,"Ithaca Industries, Inc.",1996-10-08,,1,1996-10-08,LOPUCKI,11,2251,1,,0
933035,"County Seat, Inc.",1996-10-17,,1,1996-10-17,LOPUCKI,11,5611,1,,0
874808,"Marvel Entertainment Group, Inc.",1996-12-27,,1,1996-12-27,LOPUCKI,11,2721,1,,0
798671,"Mid-American Waste Systems, Inc.",1997-01-21,,1,1997-01-21,LOPUCKI,11,4953,1,,0
912192,"MobileMedia Communications, Inc.",1997-01-30,,1,1997-01-30,LOPUCKI,11,4812,1,,0
919988,Jayhawk Acceptance Corp.,1997-02-07,,1,1997-02-07,LOPUCKI,11,6141,1,,0
46012,"Harvard Industries, Inc. (1997)",1997-05-08,,2,1997-05-08;2002-01-15,LOPUCKI,11,3060,1,,0
852772,"Flagstar Companies, Inc.",1997-06-27,,1,1997-06-27,LOPUCKI,11,5812,1,,0
836974,Montgomery Ward Holding Corp. (1997),1997-07-07,,2,1997-07-07;2000-12-28,LOPUCKI,11,5311,1,,0
926296,First Merchants Acceptance Corporation,1997-07-11,,1,1997-07-11,LOPUCKI,11,6141,1,,0
885066,Alliance Entertainment Corp.,1997-07-14,,1,1997-07-14,LOPUCKI,11,5099,1,,0
76744,"Payless Cashways, Inc. (1997)",1997-07-21,,2,1997-07-21;2001-06-04,LOPUCKI,11,5211,1,,0
846615,"JPS Textile Group, Inc. (1997)",1997-08-01,,1,1997-08-01,LOPUCKI,11,2211,1,,0
8137,Guy F. Atkinson Company of California,1997-08-10,,1,1997-08-10,LOPUCKI,11,1600,1,,0
818350,"RDM Sports Group, Inc.",1997-08-29,,1,1997-08-29,LOPUCKI,11,3751,1,,0
902279,Levitz Furniture Incorporated,1997-09-05,,1,1997-09-05,LOPUCKI,11,5712,1,,0
787618,"Consolidated Hydro, Inc.",1997-09-15,,1,1997-09-15,LOPUCKI,11,4911,1,,0
799274,Reeves Industries Inc.,1997-11-21,,1,1997-11-21,LOPUCKI,11,2221,1,,0
895517,"Molten Metal Technology, Inc.",1997-12-03,,1,1997-12-03,LOPUCKI,11,4955,1,,0
889429,"Paragon Trade Brands, Inc.",1998-01-06,,1,1998-01-06,LOPUCKI,11,2670,1,,0
838448,FF Holdings Corporation,1998-01-07,,1,1998-01-07,LOPUCKI,11,5411,1,,0
875090,"Home Holdings, Inc.",1998-01-15,,1,1998-01-15,LOPUCKI,11,6331,1,,0
746961,"Pegasus Gold, Inc.",1998-01-16,,1,1998-01-16,LOPUCKI,11,1040,1,,0
864968,"Venture Stores, Inc",1998-01-20,,1,1998-01-20,LOPUCKI,11,5331,1,,0
860420,APS Holding Corp.,1998-02-02,,1,1998-02-02,LOPUCKI,11,5013,1,,0
14920,Brunos Inc.,1998-02-02,,1,1998-02-02,LOPUCKI,11,5411,1,,0
721059,"Reliance Acceptance Group, Inc.",1998-02-09,,1,1998-02-09,LOPUCKI,11,6021,1,,0
726617,Builders Transport Inc.,1998-05-21,,1,1998-05-21,LOPUCKI,11,4213,1,,0
844843,"Geotek Communications, Inc.",1998-06-29,,1,1998-06-29,LOPUCKI,11,3663,1,,0
846378,Mercury Finance Company,1998-07-06,,1,1998-07-06,LOPUCKI,11,6141,1,,0
920173,"FPA Medical Management, Inc.",1998-07-19,,1,1998-07-19,LOPUCKI,11,8093,1,,0
914749,"CAI Wireless Systems, Inc.",1998-07-30,,1,1998-07-30,LOPUCKI,11,4841,1,,0
824206,"American Rice, Inc.",1998-08-11,,1,1998-08-11,LOPUCKI,11,5140,1,,0
703701,Westbridge Capital Corp.,1998-09-16,,1,1998-09-16,LOPUCKI,11,6321,1,,0
874690,"Sun Television and Appliances, Inc.",1998-09-16,,1,1998-09-16,LOPUCKI,11,5731,1,,0
883702,"Acme Metals, Incorporated",1998-09-28,,1,1998-09-28,LOPUCKI,11,3312,1,,0
30966,Erly Industries Inc.,1998-09-28,,1,1998-09-28,LOPUCKI,11,2040,1,,0
1011836,Southern Pacific Funding Corporation,1998-10-01,,1,1998-10-01,LOPUCKI,11,6159,1,,0
894751,"Boston Chicken, Inc.",1998-10-05,,1,1998-10-05,LOPUCKI,11,5812,1,,0
847322,Criimi Mae Inc.,1998-10-05,,1,1998-10-05,LOPUCKI,11,6798,1,,0
866253,Cityscape Financial Corp.,1998-10-06,,1,1998-10-06,LOPUCKI,11,6162,1,,0
812423,"Nu-kote Holding, Inc.",1998-11-06,,1,1998-11-06,LOPUCKI,11,3950,1,,0
1004153,AmeriTruck Distribution Corp.,1998-11-09,,1,1998-11-09,LOPUCKI,11,4213,1,,0
803568,PHP Healthcare Corporation,1998-11-19,,1,1998-11-19,LOPUCKI,11,8011,1,,0
57187,Laclede Steel Company (1998),1998-11-30,,1,1998-11-30,LOPUCKI,11,3312,1,,0
917707,"Heartland Wireless Communications, Inc.",1998-12-04,,1,1998-12-04,LOPUCKI,11,4841,1,,0
870756,"National Energy Group, Inc.",1998-12-04,,1,1998-12-04,LOPUCKI,11,1311,1,,0
890093,"JumboSports, Inc.",1998-12-27,,1,1998-12-27,LOPUCKI,11,5940,1,,0
86346,Salant Corp. (1998),1998-12-29,,1,1998-12-29,LOPUCKI,11,2320,1,,0
1011584,Fine Host Corporation,1999-01-07,,1,1999-01-07,LOPUCKI,11,5812,1,,0
945979,"Mobile Energy Services Holdings, Inc.",1999-01-14,,1,1999-01-14,LOPUCKI,11,4931,1,,0
1018730,"Smartalk Teleservices, Inc.",1999-01-19,,1,1999-01-19,LOPUCKI,11,4899,1,,0
860192,Geneva Steel Company (1999),1999-02-01,,1,1999-02-01,LOPUCKI,11,3312,1,,0
918358,"Wireless One, Inc.",1999-02-11,,1,1999-02-11,LOPUCKI,11,4841,1,,0
790706,"Golden Books Family Entertainment, Inc.",1999-02-26,,1,1999-02-26,LOPUCKI,11,2731,1,,0
769879,"Recycling Industries, Inc.",1999-02-26,,1,1999-02-26,LOPUCKI,11,5093,1,,0
77155,Penn Traffic Co (1999),1999-03-01,,4,1999-03-01;2003-05-30;2005-03-24;2009-11-18,LOPUCKI,11,5411,1,,0
217416,United Companies Financial Corporation,1999-03-01,,1,1999-03-01,LOPUCKI,11,6141,1,,0
1024321,"Wilshire Financial Services Group, Inc.",1999-03-03,,1,1999-03-03,LOPUCKI,11,6199,1,,0
38851,"Thorn Apple Valley, Inc.",1999-03-05,,1,1999-03-05,LOPUCKI,11,2011,1,,0
89107,"Service Merchandise Company, Inc.",1999-03-15,,1,1999-03-15,LOPUCKI,11,5399,1,,0
946140,Forcenergy Inc,1999-03-21,,1,1999-03-21,LOPUCKI,11,1311,1,,0
1018221,"Florida Coast Paper Company, LLC",1999-04-02,,1,1999-04-02,LOPUCKI,11,2631,1,,0
1015360,Dailey International Inc.,1999-05-28,,1,1999-05-28,LOPUCKI,11,1389,1,,0
845577,"Loewen Group, Inc.",1999-06-01,,1,1999-06-01,LOPUCKI,11,7200,1,,0
933747,"Renaissance Cosmetics, Inc.",1999-06-02,,1,1999-06-02,LOPUCKI,11,2844,1,,0
801898,"Harnischfeger Industries, Inc.",1999-06-07,,1,1999-06-07,LOPUCKI,11,3532,1,,0
46517,Hechinger Company,1999-06-11,,1,1999-06-11,LOPUCKI,11,5211,1,,0
894076,Philip Services Corp. (1999),1999-06-25,,1,1999-06-25,LOPUCKI,11,4950,1,,0
945530,"Gulf States Steel, Inc. of Alabama",1999-07-01,,1,1999-07-01,LOPUCKI,11,3312,1,,0
1018214,"Goss Graphic Systems, Inc. (1999)",1999-07-30,,1,1999-07-30,LOPUCKI,11,3555,1,,0
948421,Iridium LLC (six omitted),1999-08-13,,1,1999-08-13,LOPUCKI,11,4812,1,,0
109265,Zenith Electronics Corp.,1999-08-23,,1,1999-08-23,LOPUCKI,11,3651,1,,0
908797,"Coho Energy, Inc. (1999)",1999-08-23,,2,1999-08-23;2002-02-06,LOPUCKI,11,1311,1,,0
1018980,"Costilla Energy, Inc.",1999-09-03,,1,1999-09-03,LOPUCKI,11,1311,1,,0
922341,Hvide Marine Incorporated,1999-09-08,,1,1999-09-08,LOPUCKI,11,4412,1,,0
1060009,"Vencor, Inc.",1999-09-13,,1,1999-09-13,LOPUCKI,11,8050,1,,0
914480,"Trism, Inc.",1999-09-16,,1,1999-09-16,LOPUCKI,11,4213,1,,0
891531,"Breed Technologies, Inc.",1999-09-20,,1,1999-09-20,LOPUCKI,11,3714,1,,0
1039971,"Eagle Geophysical, Inc.",1999-09-29,,1,1999-09-29,LOPUCKI,11,1382,1,,0
1002063,"Complete Management, Inc.",1999-10-12,,1,1999-10-12,LOPUCKI,11,8742,1,,0
1008597,"Planet Hollywood International, Inc.",1999-10-12,,1,1999-10-12,LOPUCKI,11,5812,1,,0
904978,"Sun HealthCare Group, Inc.",1999-10-15,,1,1999-10-15,LOPUCKI,11,8051,1,,0
1036712,"OpTel, Inc.",1999-10-28,,1,1999-10-28,LOPUCKI,11,4841,1,,0
913437,"Purina Mills, Inc.",1999-10-28,,1,1999-10-28,LOPUCKI,11,2040,1,,0
918111,"Just For Feet, Inc.",1999-11-04,,1,1999-11-04,LOPUCKI,11,5661,1,,0
803443,"Leasing Solutions, Inc.",1999-11-17,,1,1999-11-17,LOPUCKI,11,7377,1,,0
921623,"PacificAmerica Money Center, Inc.",1999-11-19,,1,1999-11-19,LOPUCKI,11,6162,1,,0
100166,Tultex Corporation,1999-12-03,,1,1999-12-03,LOPUCKI,11,2253,1,,0
51124,American Banknote Corporation,1999-12-08,,2,1999-12-08;2005-01-21,LOPUCKI,11,2750,1,,0
910562,"Arm Financial Group, Inc.",1999-12-20,,1,1999-12-20,LOPUCKI,11,6311,1,,0
709136,"Graham-Field Health Products, Inc.",1999-12-27,,1,1999-12-27,LOPUCKI,11,5047,1,,0
1053303,"Fruit of the Loom, Ltd.",1999-12-29,,1,1999-12-29,LOPUCKI,11,2250,1,,0
832820,"KCS Energy, Inc.",2000-01-05,,1,2000-01-05,LOPUCKI,11,5172,1,,0
1060242,Imperial Home Decor Group Inc.,2000-01-05,,1,2000-01-05,LOPUCKI,11,2673,1,,0
6948,Applied Magnetics Corporation,2000-01-07,,1,2000-01-07,LOPUCKI,11,3679,1,,0
5588,American Pad & Paper Company,2000-01-10,,1,2000-01-10,LOPUCKI,11,2670,1,,0
882287,"Mariner Post-Acute Network, Inc.",2000-01-18,,1,2000-01-18,LOPUCKI,11,8051,1,,0
876320,"AgriBioTech, Inc.",2000-01-25,,1,2000-01-25,LOPUCKI,11,100,1,,0
875612,"Ameriserve Food Distribution, Inc.",2000-01-31,,1,2000-01-31,LOPUCKI,11,5141,1,,0
785814,"Integrated Health Services, Inc.",2000-02-02,,1,2000-02-02,LOPUCKI,11,8300,1,,0
805956,"CellNet Data Systems, Inc.",2000-02-04,,1,2000-02-04,LOPUCKI,11,4822,1,,0
890449,"PennCorp Financial Group, Inc.",2000-02-07,,1,2000-02-07,LOPUCKI,11,6311,1,,0
1007588,DecisionOne Holdings Corp.,2000-02-14,,1,2000-02-14,LOPUCKI,11,7373,1,,0
778718,"Tower Air, Inc.",2000-02-29,,1,2000-02-29,LOPUCKI,11,4512,1,,0
30908,"Eagle Food Centers, Inc.",2000-02-29,,1,2000-02-29,LOPUCKI,11,5411,1,,0
766738,Genicom Corporation,2000-03-10,,1,2000-03-10,LOPUCKI,11,3577,1,,0
948073,Crown Vantage Inc.,2000-03-15,,1,2000-03-15,LOPUCKI,11,2621,1,,0
1016741,"Grand Court Lifestyles, Inc.",2000-03-20,,1,2000-03-20,LOPUCKI,11,8050,1,,0
1061499,Key Plastics L.L.C.,2000-03-23,,1,2000-03-23,LOPUCKI,11,3714,1,,0
924374,"CHS Electronics, Inc.",2000-04-04,,1,2000-04-04,LOPUCKI,11,5045,1,,0
868263,"Vista Eyecare, Inc.",2000-04-05,,1,2000-04-05,LOPUCKI,11,5990,1,,0
725151,"Medical Resources, Inc.",2000-04-07,,1,2000-04-07,LOPUCKI,11,8071,1,,0
1042422,"Hedstrom Holdings, Inc.",2000-04-11,,1,2000-04-11,LOPUCKI,11,3944,1,,0
814249,"MicroAge, Inc.",2000-04-13,,1,2000-04-13,LOPUCKI,11,5045,1,,0
1029253,Clark Material Handling Company,2000-04-17,,1,2000-04-17,LOPUCKI,11,3537,1,,0
1005653,New American Healthcare Corp.,2000-04-19,,1,2000-04-19,LOPUCKI,11,8062,1,,0
1007184,Einstein Noah Bagel Corp,2000-04-27,,1,2000-04-27,LOPUCKI,11,5812,1,,0
932110,"Kitty Hawk, Inc.",2000-05-01,,2,2000-05-01;2007-10-15,LOPUCKI,11,4522,1,,0
808207,"System Software Associates, Inc.",2000-05-03,,1,2000-05-03,LOPUCKI,11,7372,1,,0
797556,Laroche Industries Inc.,2000-05-03,,1,2000-05-03,LOPUCKI,11,5160,1,,0
929941,"Family Golf Centers, Inc.",2000-05-04,,1,2000-05-04,LOPUCKI,11,7990,1,,0
1044649,"Cambridge Industries, Inc.",2000-05-10,,1,2000-05-10,LOPUCKI,11,3080,1,,0
1002130,ContiFinancial Corp.,2000-05-17,,1,2000-05-17,LOPUCKI,11,6162,1,,0
1060948,"MMH Holdings, Inc.",2000-05-17,,1,2000-05-17,LOPUCKI,11,3537,1,,0
911522,"GST Telecommunications, Inc.",2000-05-17,,1,2000-05-17,LOPUCKI,11,4813,1,,0
1016577,Sunterra Corp.,2000-05-31,,1,2000-05-31,LOPUCKI,11,7000,1,,0
94601,"Stone & Webster, Inc.",2000-06-02,,1,2000-06-02,LOPUCKI,11,8711,1,,0
701856,Safety Kleen Corp.,2000-06-09,,1,2000-06-09,LOPUCKI,11,4955,1,,0
1033671,Safelite Glass Corporation,2000-06-09,,1,2000-06-09,LOPUCKI,11,7500,1,,0
856200,"Kaiser Group International, Inc.",2000-06-09,,1,2000-06-09,LOPUCKI,11,4955,1,,0
910468,"Flooring America, Inc.",2000-06-15,,1,2000-06-15,LOPUCKI,11,5700,1,,0
818815,Inacom Corp.,2000-06-16,,1,2000-06-16,LOPUCKI,11,6794,1,,0
1043497,Creditrust Corporation,2000-06-21,,1,2000-06-21,LOPUCKI,11,7389,1,,0
874265,"Genesis Health Ventures, Inc.",2000-06-22,,1,2000-06-22,LOPUCKI,11,8051,1,,0
1041830,"Reliant Building Products, Inc.",2000-07-11,,1,2000-07-11,LOPUCKI,11,3442,1,,0
1023294,"Prime Succession, Inc.",2000-07-12,,1,2000-07-12,LOPUCKI,11,7200,1,,0
95585,"Pathmark Stores, Inc.",2000-07-12,,1,2000-07-12,LOPUCKI,11,5411,1,,0
878324,"Paging Network, Inc.",2000-07-14,,1,2000-07-14,LOPUCKI,11,4812,1,,0
868076,American Eco Corp.,2000-08-04,,1,2000-08-04,LOPUCKI,11,7600,1,,0
1047368,Glenoit Corp.,2000-08-08,,1,2000-08-08,LOPUCKI,11,2250,1,,0
799088,"Carmike Cinemas, Inc.",2000-08-08,,1,2000-08-08,LOPUCKI,11,7830,1,,0
924174,Coram Healthcare Corp.,2000-08-08,,2,2000-08-08;2004-11-02,LOPUCKI,11,8082,1,,0
922978,"Trend-Lines, Inc.",2000-08-11,,1,2000-08-11,LOPUCKI,11,5961,1,,0
46601,Heilig-Meyers Company,2000-08-16,,1,2000-08-16,LOPUCKI,11,5712,1,,0
98559,Tokheim Corp. (2000),2000-08-28,,2,2000-08-28;2002-11-21,LOPUCKI,11,3580,1,,0
889571,United Artists Theatre Company,2000-09-05,,1,2000-09-05,LOPUCKI,11,7830,1,,0
94026,"Stellex Industries, Inc. (Stellex Technologies, Inc.)",2000-09-12,,1,2000-09-12,LOPUCKI,11,3812,1,,0
758722,Paracelsus Healthcare Corp.,2000-09-15,,1,2000-09-15,LOPUCKI,11,8062,1,,0
1021649,"Orbcomm Global, LP",2000-09-15,,1,2000-09-15,LOPUCKI,11,4812,1,,0
912142,Specialty Foods Corp.,2000-09-18,,1,2000-09-18,LOPUCKI,11,2020,1,,0
884999,Dyersburg Corp.,2000-09-25,,1,2000-09-25,LOPUCKI,11,2211,1,,0
1066048,Fine Air Services Corp.,2000-09-27,,1,2000-09-27,LOPUCKI,11,4522,1,,0
3941,Allied Products Corp.,2000-10-02,,1,2000-10-02,LOPUCKI,11,3523,1,,0
75234,Owens Corning,2000-10-05,,1,2000-10-05,LOPUCKI,11,3290,1,,0
894232,Drypers Corp.,2000-10-10,,1,2000-10-10,LOPUCKI,11,2670,1,,0
912295,"GC Companies, Inc.",2000-10-11,,1,2000-10-11,LOPUCKI,11,7830,1,,0
879969,CareMatrix Corp.,2000-11-09,,1,2000-11-09,LOPUCKI,11,8050,1,,0
1013240,"ICG Communications, Inc.",2000-11-14,,1,2000-11-14,LOPUCKI,11,4813,1,,0
896265,Pillowtex Corp. (2000),2000-11-14,,2,2000-11-14;2003-07-30,LOPUCKI,11,2390,1,,0
941738,Wheeling Pittsburgh Corp. (2000),2000-11-16,,1,2000-11-16,LOPUCKI,11,3312,1,,0
12105,"Big V Supermarkets, Inc.",2000-11-22,,1,2000-11-22,LOPUCKI,11,5411,1,,0
1002131,Lernout & Hauspie Speech Products NV,2000-11-29,,1,2000-11-29,LOPUCKI,11,7372,1,,0
7431,"Armstrong World Industries, Inc.",2000-12-06,,2,2000-12-06;2006-08-18,LOPUCKI,11,3089,1,,0
1055684,Unicapital Corporation,2000-12-11,,1,2000-12-11,LOPUCKI,11,6159,1,,0
73093,Northwestern Steel & Wire Co.,2000-12-19,,1,2000-12-19,LOPUCKI,11,3312,1,,0
75149,Outboard Marine Corporation,2000-12-22,,1,2000-12-22,LOPUCKI,11,3510,1,,0
60731,LTV Corp. (2000),2000-12-29,,1,2000-12-29,LOPUCKI,11,3312,1,,0
1004967,"Pacific Gateway Exchange, Inc.",2000-12-29,,1,2000-12-29,LOPUCKI,11,4813,1,,0
1021352,JCC Holding Co.,2001-01-04,,1,2001-01-04,LOPUCKI,11,7900,1,,0
935802,"Anicom, Inc.",2001-01-05,,1,2001-01-05,LOPUCKI,11,5063,1,,0
278327,"Trans World Airlines, Inc. (2001)",2001-01-10,,1,2001-01-10,LOPUCKI,11,4512,1,,0
922812,American Homestar Corp.,2001-01-11,,1,2001-01-11,LOPUCKI,11,2452,1,,0
847468,"Waste Systems International, Inc.",2001-01-11,,1,2001-01-11,LOPUCKI,11,4953,1,,0
1080558,"NorthPoint Communications Group, Inc.",2001-01-16,,1,2001-01-16,LOPUCKI,11,4813,1,,0
831327,Imperial Sugar Company,2001-01-16,,1,2001-01-16,LOPUCKI,11,2060,1,,0
350920,"Mediq, Inc.",2001-01-24,,1,2001-01-24,LOPUCKI,11,7350,1,,0
1056312,"Vlasic Foods International, Inc.",2001-01-29,,1,2001-01-29,LOPUCKI,11,2000,1,,0
1021706,"Kevco, Inc.",2001-02-05,,1,2001-02-05,LOPUCKI,11,3440,1,,0
3662,Sunbeam Corporation,2001-02-06,,1,2001-02-06,LOPUCKI,11,3634,1,,0
1054588,Loews Cineplex Entertainment Corp,2001-02-15,,1,2001-02-15,LOPUCKI,11,7830,1,,0
934852,U.S. Office Products Company,2001-03-05,,1,2001-03-05,LOPUCKI,11,5961,1,,0
1052245,"eToys, Inc.",2001-03-07,,1,2001-03-07,LOPUCKI,11,5961,1,,0
883701,"Finova Group, Inc.",2001-03-07,,1,2001-03-07,LOPUCKI,11,6153,1,,0
892604,"Worldtex, Inc.",2001-03-12,,1,2001-03-12,LOPUCKI,11,2200,1,,0
1026486,Star Telecommunications Inc.,2001-03-13,,1,2001-03-13,LOPUCKI,11,4813,1,,0
1036297,"RSL Communications, Ltd.",2001-03-19,,1,2001-03-19,LOPUCKI,11,4813,1,,0
1059888,"Holt Group, Inc.",2001-03-21,,1,2001-03-21,LOPUCKI,11,4400,1,,0
932140,"e.spire Communications, Inc.",2001-03-22,,1,2001-03-22,LOPUCKI,11,4813,1,,0
832922,"Drug Emporium, Inc.",2001-03-26,,1,2001-03-26,LOPUCKI,11,5912,1,,0
1043438,"U.S.A. Floral Products, Inc.",2001-04-02,,1,2001-04-02,LOPUCKI,11,5190,1,,0
1099231,"Pathnet Telecommunications, Inc.",2001-04-02,,1,2001-04-02,LOPUCKI,11,4813,1,,0
1098311,"Republic Technologies International Holdings, LLC (2001)",2001-04-02,,1,2001-04-02,LOPUCKI,11,3312,1,,0
821202,Borden Chemicals & Plastics LP (Borden Chemicals & Plastics Operating LP only),2001-04-03,,1,2001-04-03,LOPUCKI,11,2821,1,,0
1071645,"World Access, Inc.",2001-04-04,,2,2001-04-04;2004-09-22,LOPUCKI,11,3669,1,,0
1011630,ProMedCo Management Company,2001-04-04,,1,2001-04-04,LOPUCKI,11,8011,1,,0
1009403,"marchFIRST, Inc.",2001-04-12,,1,2001-04-12,LOPUCKI,11,8742,1,,0
868797,"Winstar Communications, Inc.",2001-04-18,,1,2001-04-18,LOPUCKI,11,4813,1,,0
1046558,"Convergent Communications, Inc.",2001-04-19,,1,2001-04-19,LOPUCKI,11,4813,1,,0
1039780,"Friede Goldman Halter, Inc.",2001-04-19,,1,2001-04-19,LOPUCKI,11,3533,1,,0
1096287,"Xpedior, Inc.",2001-04-20,,1,2001-04-20,LOPUCKI,11,7389,1,,0
925928,"Telscape International, Inc.",2001-04-27,,1,2001-04-27,LOPUCKI,11,4813,1,,0
945771,Viatel Inc.,2001-05-02,,1,2001-05-02,LOPUCKI,11,4813,1,,0
1064526,"Grove Worldwide, LLC",2001-05-07,,1,2001-05-07,LOPUCKI,11,3531,1,,0
1059706,Transportation Components Inc.,2001-05-07,,1,2001-05-07,LOPUCKI,11,5013,1,,0
906469,"Washington Group International, Inc.",2001-05-14,,1,2001-05-14,LOPUCKI,11,8711,1,,0
792570,Casual Male Corp.,2001-05-18,,1,2001-05-18,LOPUCKI,11,5661,1,,0
1047021,Teligent Inc,2001-05-21,,1,2001-05-21,LOPUCKI,11,4812,1,,0
947268,"WebLink Wireless, Inc.",2001-05-23,,1,2001-05-23,LOPUCKI,11,4812,1,,0
940716,PSINet Inc.,2001-05-31,,1,2001-05-31,LOPUCKI,11,7370,1,,0
801351,Warnaco Group Inc.,2001-06-11,,1,2001-06-11,LOPUCKI,11,2340,1,,0
356395,"Reliance Group Holdings, Inc.",2001-06-12,,2,2001-06-12;2005-01-31,LOPUCKI,11,6331,1,,0
1061800,"Talon Automotive Group, Inc.",2001-06-29,,1,2001-06-29,LOPUCKI,11,3460,1,,0
884318,"Metricom, Inc.",2001-07-02,,1,2001-07-02,LOPUCKI,11,3663,1,,0
225569,"AMRESCO, Inc.",2001-07-02,,1,2001-07-02,LOPUCKI,11,6282,1,,0
1015535,"AMF Bowling Worldwide, Inc.",2001-07-02,,1,2001-07-02,LOPUCKI,11,7900,1,,0
1092657,"WebVan Group, Inc.",2001-07-13,,1,2001-07-13,LOPUCKI,11,7389,1,,0
722487,"Comdisco, Inc.",2001-07-16,,1,2001-07-16,LOPUCKI,11,7377,1,,0
795662,"Sterling Chemicals Holdings, Inc.",2001-07-16,,1,2001-07-16,LOPUCKI,11,7377,1,,0
780118,Amwest Insurance Group Inc.,2001-07-24,,1,2001-07-24,LOPUCKI,11,6351,1,,0
891285,Ha-Lo Industries,2001-07-30,,1,2001-07-30,LOPUCKI,11,5090,1,,0
830141,"Pioneer Companies, Inc.",2001-07-31,,1,2001-07-31,LOPUCKI,11,2800,1,,0
1065869,"Rhythms NetConnections, Inc.",2001-08-01,,1,2001-08-01,LOPUCKI,11,7370,1,,0
946323,Midway Airlines Corp (2001),2001-08-13,,1,2001-08-13,LOPUCKI,11,4512,1,,0
1043769,"Covad Communications Group, Inc.",2001-08-15,,1,2001-08-15,LOPUCKI,11,4813,1,,0
1067447,Derby Cycle Corp,2001-08-20,,1,2001-08-20,LOPUCKI,11,3751,1,,0
6071,"Ames Department Stores, Inc. (2001)",2001-08-20,,1,2001-08-20,LOPUCKI,11,5331,1,,0
813347,"Komag, Inc.",2001-08-24,,1,2001-08-24,LOPUCKI,11,3695,1,,0
1095827,"American Tissue, Inc.",2001-09-10,,1,2001-09-10,LOPUCKI,11,2621,1,,0
